0 1 2 3 4 5 6 7 8 9 10 11
20 27 22 3 4 5 6 7 8 9 10 11
12 13 22 3 4 5 6 7 8 9 10 11
29 30 2 3 4 26 6 7 8 9 18 11
20 13 2 14 4 5 6 7 8 9 10 11
12 28 2 3 4 5 6 7 8 9 18 11
12 13 2 14 4 5 6 7 8 9 10 11
12 25 2 3 4 5 6 7 8 9 18 11
29 30 2 3 4 26 6 7 8 9 10 11
29 25 22 3 4 5 6 7 8 9 10 11
12 31 22 3 4 5 6 7 8 9 10 11
12 25 22 3 4 5 6 7 8 9 18 11
20 1 22 3 4 5 6 7 8 9 10 11
29 25 2 3 4 26 6 15 16 9 10 11
29 30 22 3 4 5 6 7 8 9 10 11
12 1 22 3 4 5 6 7 8 9 10 11
20 33 2 3 4 26 6 7 8 9 10 11
20 33 22 3 4 5 6 7 8 17 10 11
20 28 2 3 4 26 6 7 8 9 10 11
12 13 2 3 4 5 6 7 8 17 10 11
20 1 2 3 4 26 6 7 8 9 10 11
12 1 2 14 4 5 6 7 8 9 18 11
12 28 22 3 4 5 23 7 16 9 10 19
12 25 2 3 4 5 6 7 8 9 10 11
0 27 2 3 4 26 6 7 8 17 10 11
20 1 22 3 4 5 6 7 8 17 10 11
12 28 2 3 4 26 6 7 8 9 18 11
20 24 2 3 4 26 6 7 8 9 10 11
20 25 2 3 4 5 6 7 8 9 10 11
